Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,Is Not Allowed for Coworking(ESR),Is Special,Activity Price,Activity Group,Description,Qualification Requirement,Documents Required
AM-09224,Freezone,RAKEZ9001029,Abrasive & Minerals Trading,????? ?????? ??????? ????????,Active,,Commercial,0,Standard,,Metals & its products trading,,,
AM-03668,Freezone,RAKEZ /2017/24,Academic Liaison Office,???? ????? ???????,Active,,Educational,0,Standard,8500,Educational Consulting Services,"This is an office established by international academic institutions to represent and boost ties and to facilitate academic exchange with local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out teaching, admission services or commercial activities.",,"Academic Zone, this activity is not allowed for Coworking"
AM-01852,Freezone,7412-02,Accounting & Bookkeeping,????? ??????? ???????? ????????? ??????,Active,,Services,1,Special,5000,Accounts,"Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts.",Certified_Academic_Degree,"Business Plan to be Reviewed and Approved by Sales Director,Designated Non-Financial Business or Profession (DNFBP),Certified Academic Degree,'Mandatory RAKEZ Visa within 6 months of the License Issuance"". Activity Not Allowed for Flexi Units."
AM-03521,Freezone,809044,Accounting Training,??????? ??? ????????,Active,,Educational,0,Standard,10000,Training Institute,"Includes providing training on maintaining, auditing and recording financial transactions, including, accounting auditing, bookkeeping, tax accounting.",,Academic Zone
AM-01853,Freezone,5149-08,Acids & Alkalines Trading,????? ??????? ?????????,Active,,Commercial,0,Standard,,Chemicals trading,Includes reselling acids and alkalines for producing other industrial products and compounds.,,"For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV"
AM-01866,Freezone,514917,Adhesives Trading,????? ?????? ???????,Active,,Commercial,0,Standard,,Chemicals trading,"Includes reselling of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum.",,
AM-08810,Freezone,70200-03,Administrative Consultancy and Studies,???????? ??????? ??????,Active,,Services,0,Special,5000,"Consultancy -D- management, information and marketing","Includes providing administrative consultancies and studies to public departments and companies as regarding administrative performance analysis, procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.",Certified_Academic_Degree,"1. Standalone License with ""Administrative Consultancy and Studies” activity. If any additional activities are required, Client should have additional license subject to satisfying the relevant requirements. 2. Special Activity Fee AED 6,500/- to be charged for New Registration and Amendment Activity (Existing Clients) Cases 3. Company's manager should be UAE-resident OR should have visa under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Company's Manager should have the minimal qualifications required such as bachelor degree in Business Administration or Economics or a related discipline and three years experience. 5. Undertaking not to act as a Corporate Service Provider (CSP) for the below services: • Acting as a formation agent of legal persons • Acting as (or arranging for another person to act as) a director or secretary of a company, a partner of a partnership, or a similar position in relation to other legal persons. • Providing a registered office; business address or accommodation, correspondence or administrative address for a company, a partnership or any other legal person or arrangement. • Acting as (or arranging for another person to act as) a trustee of an express trust. • Acting as (or arranging for another person to act as) a nominee shareholder for another person."
AM-09127,Freezone,8550002,Administrative Training Services,????? ??? ??????? ???????,Active,,Educational,0,Standard,,Consulting - Management and Information,"Includes existing facilities whose work is related to educational institutes that conduct training in all areas of administrative work, as these establishments provide and prepare learning rooms and link them with the latest educational means and other closely related services, as well as provide membership cards and participation in training, which provides facilities for the trainee or an additional benefit to those institutes This branch does not include the training and education of clients",Certified_Academic_Degree,
AM-08933,Freezone,113005,Advanced Agriculture for vegetables and the melons and the roots and the tubers,??????? ???????? ???????? ?????????? ??????? ????????,Active,,Services,0,Standard,,Agricultural,"Includes agricultural firms specialized in advanced growing by using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow leafy vegetables, fruits bearing vegetables, melon species, root-planting, tuberous vegetables., also, mushroom and other vegetable for commercial purpose, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools.",,Ministry of Climate Change and Environment
AM-03701,Freezone,743002,Advertisement Designing & Producing,????? ?????? ?????????,Active,,Services,0,Standard,,Advertising,"Includes firms which design commercials and produce the same on audio or video tapes, paintings and photographs for newspapers and magazines, or wall posters.",,
